=== kubectl get events -n devops-app --sort-by=.metadata.creationTimestamp ===
LAST SEEN   TYPE      REASON                         OBJECT                                      MESSAGE
27m         Normal    Created                        pod/frontend-deployment-6c979f6484-2hl5s    Created container: frontend
27m         Normal    Pulled                         pod/frontend-deployment-6c979f6484-2hl5s    Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:75b0ee0e" in 388ms (388ms including waiting). Image size: 23054514 bytes.
27m         Normal    Pulled                         pod/backend-deployment-5d65ff6fc-q669v      Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:75b0ee0e" in 1.713s (1.713s including waiting). Image size: 66624867 bytes.
27m         Normal    Created                        pod/backend-deployment-5d65ff6fc-q669v      Created container: backend
27m         Normal    Started                        pod/backend-deployment-5d65ff6fc-q669v      Started container backend
26m         Normal    Killing                        pod/frontend-deployment-6c979f6484-2hl5s    Stopping container frontend
26m         Normal    SuccessfulDelete               replicaset/frontend-deployment-6c979f6484   Deleted pod: frontend-deployment-6c979f6484-2hl5s
26m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-6c979f6484 from 2 to 1
26m         Normal    Scheduled                      pod/frontend-deployment-7bf9c644b-77k67     Successfully assigned devops-app/frontend-deployment-7bf9c644b-77k67 to ip-10-0-2-240.ec2.internal
26m         Normal    SuccessfulCreate               replicaset/frontend-deployment-7bf9c644b    Created pod: frontend-deployment-7bf9c644b-77k67
26m         Normal    Pulled                         pod/frontend-deployment-7bf9c644b-77k67     Container image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:71a42a0c" already present on machine
26m         Normal    Created                        pod/frontend-deployment-7bf9c644b-77k67     Created container: frontend
26m         Normal    SuccessfulCreate               replicaset/worker-deployment-fb6d89564      Created pod: worker-deployment-fb6d89564-xk9wm
26m         Normal    SuccessfulDelete               replicaset/backend-deployment-5d65ff6fc     Deleted pod: backend-deployment-5d65ff6fc-q669v
26m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled down replica set worker-deployment-8b4bdf878 from 1 to 0
26m         Normal    SuccessfulCreate               replicaset/backend-deployment-b7d78c97f     Created pod: backend-deployment-b7d78c97f-ntrnd
26m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled down replica set backend-deployment-5d65ff6fc from 2 to 1
26m         Normal    Scheduled                      pod/backend-deployment-b7d78c97f-ntrnd      Successfully assigned devops-app/backend-deployment-b7d78c97f-ntrnd to ip-10-0-3-158.ec2.internal
26m         Normal    Scheduled                      pod/worker-deployment-fb6d89564-xk9wm       Successfully assigned devops-app/worker-deployment-fb6d89564-xk9wm to ip-10-0-3-158.ec2.internal
26m         Normal    Killing                        pod/worker-deployment-8b4bdf878-42h97       Stopping container worker
26m         Normal    SuccessfulDelete               replicaset/worker-deployment-8b4bdf878      Deleted pod: worker-deployment-8b4bdf878-42h97
26m         Normal    Killing                        pod/backend-deployment-5d65ff6fc-q669v      Stopping container backend
26m         Normal    Started                        pod/frontend-deployment-7bf9c644b-77k67     Started container frontend
26m         Normal    Pulling                        pod/worker-deployment-fb6d89564-xk9wm       Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:71a42a0c"
26m         Normal    Started                        pod/backend-deployment-b7d78c97f-ntrnd      Started container backend
26m         Normal    Created                        pod/backend-deployment-b7d78c97f-ntrnd      Created container: backend
26m         Normal    Pulled                         pod/backend-deployment-b7d78c97f-ntrnd      Container image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:71a42a0c" already present on machine
26m         Normal    Created                        pod/worker-deployment-fb6d89564-xk9wm       Created container: worker
26m         Normal    Pulled                         pod/worker-deployment-fb6d89564-xk9wm       Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:71a42a0c" in 1.674s (1.674s including waiting). Image size: 64067584 bytes.
26m         Normal    Started                        pod/worker-deployment-fb6d89564-xk9wm       Started container worker
26m         Normal    SuccessfulCreate               replicaset/frontend-deployment-7bf9c644b    Created pod: frontend-deployment-7bf9c644b-pbwfw
26m         Normal    ScalingReplicaSet              deployment/frontend-deployment              (combined from similar events): Scaled down replica set frontend-deployment-6c979f6484 from 1 to 0
26m         Normal    SuccessfulDelete               replicaset/frontend-deployment-6c979f6484   Deleted pod: frontend-deployment-6c979f6484-rjl82
26m         Normal    Killing                        pod/frontend-deployment-6c979f6484-rjl82    Stopping container frontend
26m         Normal    Scheduled                      pod/frontend-deployment-7bf9c644b-pbwfw     Successfully assigned devops-app/frontend-deployment-7bf9c644b-pbwfw to ip-10-0-3-158.ec2.internal
26m         Normal    Started                        pod/frontend-deployment-7bf9c644b-pbwfw     Started container frontend
26m         Normal    Pulled                         pod/frontend-deployment-7bf9c644b-pbwfw     Container image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:71a42a0c" already present on machine
